X,Y,X,Y,X,Y,X,Y
-88.705,374,-90.458,390,-90.458,362,-87.593,338
-86.418,435,-88.169,371,-88.169,357,-85.306,335
-84.131,470,-85.881,400,-85.881,400,-83.02,398
-81.844,482,-83.594,348,-83.594,364,-80.734,390
-79.559,456,-81.307,380,-81.307,412,-78.449,374
-77.273,488,-79.021,434,-79.021,402,-76.164,428
-74.989,479,-76.736,379,-76.736,383,-73.88,391
-72.705,416,-74.451,406,-74.451,376,-71.597,428
-70.422,400,-72.166,418,-72.166,404,-69.314,402
-68.139,575,-69.883,427,-69.883,397,-67.032,415
-65.857,524,-67.599,348,-67.599,406,-64.751,404
-63.575,498,-65.317,434,-65.317,400,-62.47,386
-61.294,467,-63.035,399,-63.035,411,-60.189,427
-59.014,487,-60.754,453,-60.754,365,-57.91,421
-56.734,542,-58.473,476,-58.473,402,-55.63,412
-54.455,526,-56.193,490,-56.193,444,-53.352,396
-52.176,540,-53.913,448,-53.913,484,-51.074,380
-49.898,564,-51.634,442,-51.634,470,-48.797,406
-47.621,591,-49.356,539,-49.356,467,-46.52,423
-45.344,560,-47.078,446,-47.078,510,-44.244,440
-43.068,633,-44.801,523,-44.801,481,-41.968,435
-40.793,581,-42.524,519,-42.524,507,-39.693,471
-38.518,654,-40.249,548,-40.249,510,-37.419,452
-36.243,638,-37.973,518,-37.973,558,-35.145,496
-33.97,721,-35.698,581,-35.698,513,-32.872,497
-31.696,695,-33.424,603,-33.424,559,-30.6,515
-29.424,809,-31.151,559,-31.151,585,-28.328,555
-27.152,992,-28.878,638,-28.878,652,-26.057,554
-24.881,887,-26.606,757,-26.606,649,-23.786,627
-22.61,1045,-24.334,769,-24.334,739,-21.516,629
-20.34,1243,-22.063,873,-22.063,861,-19.246,831
-18.07,1662,-19.792,1068,-19.792,1010,-16.978,826
-15.801,2100,-17.522,1432,-17.522,1244,-14.709,1056
-13.533,2621,-15.253,1821,-15.253,1627,-12.442,1285
-11.265,3259,-12.984,2147,-12.984,1857,-10.175,1671
-8.998,5044,-10.716,3084,-10.716,2906,-7.908,2874
-6.732,10101,-8.448,5843,-8.448,5389,-5.642,6069
-4.466,65535,-6.182,18543,-6.182,15281,-3.377,65535
-2.2,65534,-3.915,65534,-3.915,65534,-1.112,65534
0.064,65534,-1.649,65534,-1.649,65534,1.152,65534
2.328,65534,0.616,65534,0.616,65534,3.415,65534
4.592,65534,2.88,65534,2.88,65534,5.678,7318
6.855,16448,5.144,11942,5.144,11760,7.94,4038
9.117,8419,7.408,5685,7.408,5687,10.202,2287
11.379,4693,9.67,3527,9.67,3321,12.463,1681
13.64,3347,11.932,2303,11.932,2229,14.723,1353
15.901,2530,14.194,1704,14.194,1490,16.983,1082
18.161,2134,16.455,1306,16.455,1344,19.242,998
20.42,1629,18.715,1253,18.715,1209,21.501,827
22.679,1414,20.975,980,20.975,1058,23.759,860
24.937,1326,23.234,1022,23.234,972,26.017,814
27.194,1238,25.493,814,25.493,970,28.273,774
29.451,1094,27.751,788,27.751,782,30.53,796
31.708,1008,30.008,736,30.008,988,32.785,1582
33.963,1121,32.265,743,32.265,1447,35.04,3525
36.218,1468,34.521,784,34.521,2598,37.295,7398
38.473,2014,36.777,858,36.777,4290,39.549,11526
40.727,2303,39.032,945,39.032,5691,41.802,13829
42.98,2273,41.286,987,41.286,6565,44.055,15653
45.233,2660,43.54,1058,43.54,7144,46.307,16002
47.485,2737,45.793,935,45.793,7591,48.558,15875
49.737,2963,48.046,1159,48.046,7719,50.809,15705
51.988,2616,50.298,934,50.298,7564,53.059,15378
54.238,2282,52.549,804,52.549,7192,55.309,14886
56.488,2341,54.8,681,54.8,7107,57.558,14727
58.737,2938,57.05,998,57.05,7438,59.806,14820
60.985,3214,59.3,1320,59.3,7636,62.054,14380
63.233,2465,61.549,903,61.549,7195,64.301,14897
65.481,2543,63.797,785,63.797,7273,66.548,14811
67.728,2497,66.045,829,66.045,7463,68.794,14799
69.974,2607,68.292,825,68.292,7311,71.039,14653
72.219,2650,70.539,916,70.539,7612,73.284,14596
74.464,2659,72.785,959,72.785,7385,75.529,15121
76.709,2532,75.03,862,75.03,7358,77.772,15166
78.952,2156,77.275,734,77.275,7328,80.015,15168
81.196,2229,79.519,809,79.519,7195,82.258,15027
83.438,2699,81.763,953,81.763,7303,84.5,15707
85.68,2361,84.006,849,84.006,7355,86.741,15907
87.922,2112,86.248,652,86.248,7008,88.982,16496
90.162,2408,88.49,728,88.49,7090,91.222,17072
92.403,2765,90.731,979,90.731,7283,93.461,17827
94.642,2460,92.972,804,92.972,7438,95.7,17876
96.881,2246,95.212,758,95.212,6882,97.938,18456
99.12,2309,97.452,749,97.452,6729,100.176,19043
101.358,2223,99.691,781,99.691,6975,102.413,19299
103.595,2209,101.929,631,101.929,6989,104.649,19535
105.831,2413,104.167,777,104.167,6991,106.885,20443
108.067,2498,106.404,966,106.404,7088,109.121,20574
110.303,2305,108.64,701,108.64,7155,111.355,21059
112.538,1974,110.876,706,110.876,7020,113.589,21416
114.772,2252,113.111,720,113.111,6838,115.823,21316
117.006,2180,115.346,698,115.346,6938,118.056,21586
119.239,2169,117.58,723,117.58,7085,120.288,20991
121.471,2411,119.814,761,119.814,7103,122.52,22051
123.703,2112,122.047,928,122.047,7136,124.751,22108
125.934,2130,124.279,690,124.279,6764,126.981,21806
128.165,2077,126.511,711,126.511,7003,129.211,21789
130.395,2063,128.742,623,128.742,6715,131.441,22257
132.625,2002,130.973,618,130.973,6512,133.669,21764
134.854,1996,133.203,594,133.203,6718,135.898,21562
137.082,1979,135.432,547,135.432,6707,138.125,21869
139.31,1931,137.661,679,137.661,6619,140.352,22525
141.537,2024,139.889,626,139.889,6634,142.578,23282
143.763,2086,142.117,570,142.117,6930,144.804,23250
145.989,2107,144.344,559,144.344,7031,147.029,22927
148.214,1915,146.57,563,146.57,7049,149.254,22357
150.439,1967,148.796,577,148.796,6897,151.478,21813
152.663,1808,151.021,534,151.021,6938,153.701,22212
154.887,1971,153.246,577,153.246,7197,155.924,21667
157.11,1993,155.47,617,155.47,6869,158.146,21937
159.332,1965,157.693,509,157.693,6959,160.368,20817
161.554,2020,159.916,546,159.916,7400,162.589,20898
163.775,2084,162.138,502,162.138,6854,164.809,20946
165.996,1900,164.36,548,164.36,7124,167.029,21270
168.216,1909,166.581,583,166.581,7021,169.248,21191
170.435,2000,168.802,536,168.802,7188,171.467,21354
172.654,1977,171.022,609,171.022,6963,173.685,21189
174.872,2019,173.241,609,173.241,6935,175.902,21409
177.09,2092,175.46,542,175.46,7482,178.119,21414
179.307,2066,177.678,626,177.678,7350,180.335,21374
181.523,1789,179.895,587,179.895,7357,182.551,21675
183.739,2097,182.112,551,182.112,7003,184.766,22389
185.954,1987,184.329,569,184.329,6893,186.98,22013
188.169,1994,186.544,580,186.544,7164,189.194,22568
190.383,1867,188.76,537,188.76,7149,191.408,22967
192.597,1846,190.974,590,190.974,7222,193.62,23354
194.81,1849,193.188,531,193.188,7251,195.832,24015
197.022,1874,195.402,598,195.402,7208,198.044,24506
199.234,2084,197.614,500,197.614,7275,200.255,24760
201.445,2065,199.827,554,199.827,7358,202.465,25199
203.655,1943,202.038,563,202.038,7476,204.675,25338
205.865,2198,204.249,556,204.249,7281,206.884,26066
208.075,1967,206.46,546,206.46,7540,209.093,27660
210.283,1984,208.67,591,208.67,7666,211.3,27212
212.492,2032,210.879,536,210.879,7170,213.508,27666
214.699,2004,213.088,543,213.088,7382,215.715,28084
216.906,1970,215.296,564,215.296,7370,217.921,28065
219.112,1874,217.503,590,217.503,7249,220.126,27897
221.318,1984,219.71,530,219.71,7350,222.331,28371
223.523,1922,221.917,524,221.917,7694,224.536,28616
225.728,2172,224.122,510,224.122,7779,226.739,28735
227.932,1924,226.327,569,226.327,7346,228.943,28800
230.136,1929,228.532,516,228.532,7199,231.145,28397
232.338,1824,230.736,537,230.736,7514,233.347,28958
234.541,1950,232.939,570,232.939,7454,235.549,28531
236.742,1882,235.142,516,235.142,7276,237.75,29232
238.943,2013,237.344,507,237.344,7178,239.95,29688
241.144,1978,239.546,598,239.546,7153,242.15,28859
243.344,1855,241.747,530,241.747,7207,244.349,29257
245.543,1795,243.947,582,243.947,7170,246.547,29490
247.742,2056,246.147,522,246.147,7313,248.745,29478
249.94,1881,248.347,468,248.347,7388,250.942,29640
252.138,1822,250.545,490,250.545,7377,253.139,30170
254.335,1931,252.743,526,252.743,7553,255.335,29715
256.531,2030,254.941,575,254.941,7525,257.531,28943
258.727,2079,257.138,517,257.138,7332,259.726,29205
260.922,1970,259.334,524,259.334,7690,261.92,29698
263.117,2055,261.53,516,261.53,7723,264.114,29316
265.311,1908,263.725,519,263.725,7561,266.307,29174
267.504,1912,265.919,550,265.919,7905,268.5,28500
269.697,1977,268.113,562,268.113,7786,270.692,29202
271.889,2054,270.307,507,270.307,7731,272.883,28713
274.081,2041,272.5,500,272.5,7922,275.074,28504
276.272,1980,274.692,515,274.692,8080,277.264,28320
278.462,1976,276.884,536,276.884,7927,279.454,27582
280.652,1883,279.075,508,279.075,7738,281.643,27346
282.842,1956,281.265,488,281.265,7712,283.831,26455
285.03,1770,283.455,473,283.455,7828,286.019,25969
287.218,1730,285.644,487,285.644,7611,288.206,25975
289.406,2038,287.833,484,287.833,7701,290.393,25100
291.593,2058,290.021,477,290.021,7898,292.579,25169
293.779,1804,292.208,495,292.208,7704,294.765,25396
295.965,1924,294.395,520,294.395,7794,296.95,25189
298.15,1793,296.582,549,296.582,7680,299.134,24960
300.335,1868,298.768,546,298.768,7844,301.318,24218
302.519,1863,300.953,521,300.953,7959,303.501,25070
304.702,1829,303.137,560,303.137,7926,305.683,24618
306.885,1824,305.321,523,305.321,8027,307.865,25176
309.068,1899,307.505,499,307.505,7720,310.047,24599
311.249,2063,309.688,548,309.688,7700,312.228,24844
313.43,1939,311.87,482,311.87,8104,314.408,24317
315.611,1864,314.051,547,314.051,8138,316.587,24726
317.791,2106,316.233,530,316.233,8205,318.767,25497
319.97,2016,318.413,542,318.413,7907,320.945,26010
322.149,2038,320.593,517,320.593,8271,323.123,25615
324.327,2040,322.772,594,322.772,8140,325.3,26037
326.505,2368,324.951,574,324.951,8371,327.477,25566
328.682,2072,327.129,563,327.129,8269,329.653,26432
330.858,2124,329.307,592,329.307,8384,331.829,27180
333.034,2082,331.484,662,331.484,8344,334.004,25990
335.209,2027,333.66,538,333.66,8333,336.178,27259
337.384,2053,335.836,554,335.836,8040,338.352,26631
339.558,1920,338.011,477,338.011,8245,340.525,26397
341.731,1995,340.186,494,340.186,8062,342.697,26580
343.904,2071,342.36,506,342.36,7957,344.869,26347
346.077,1913,344.533,524,344.533,8185,347.041,26507
348.248,1959,346.706,540,346.706,8361,349.212,26583
350.42,1974,348.879,584,348.879,8548,351.382,26312
352.59,2166,351.05,559,351.05,8172,353.552,26558
354.76,2197,353.221,682,353.221,8286,355.721,26658
356.929,1912,355.392,594,355.392,8457,357.889,27094
359.098,2065,357.562,608,357.562,8278,360.057,26968
361.267,1954,359.731,512,359.731,8115,362.225,26671
363.434,1996,361.9,612,361.9,7976,364.391,26083
365.601,1968,364.068,577,364.068,7961,366.557,26738
367.768,2002,366.236,603,366.236,8034,368.723,27906
369.934,1946,368.403,547,368.403,7986,370.888,27353
372.099,1870,370.57,557,370.57,8038,373.052,27596
374.264,2063,372.735,546,372.735,7902,375.216,28411
376.428,2002,374.901,526,374.901,8107,377.38,27976
378.591,2005,377.065,555,377.065,8525,379.542,28840
380.754,1896,379.23,588,379.23,8114,381.704,28928
382.917,2060,381.393,527,381.393,8394,383.866,29511
385.079,2011,383.556,477,383.556,8227,386.027,30229
387.24,1839,385.719,558,385.719,8358,388.187,30844
389.4,2072,387.88,563,387.88,8432,390.347,31549
391.561,2212,390.042,648,390.042,8460,392.506,32002
393.72,2177,392.202,649,392.202,8755,394.665,33595
395.879,2071,394.362,566,394.362,8597,396.823,33708
398.037,2247,396.522,583,396.522,8545,398.98,34236
400.195,2168,398.681,513,398.681,8996,401.137,35497
402.352,2078,400.839,556,400.839,8759,403.293,36593
404.509,2010,402.997,559,402.997,8726,405.449,37591
406.665,1995,405.154,579,405.154,8792,407.604,38275
408.82,2023,407.311,574,407.311,8779,409.758,39253
410.975,2041,409.467,561,409.467,8627,411.912,39918
413.129,2045,411.622,584,411.622,8573,414.065,41346
415.283,2069,413.777,541,413.777,8596,416.218,42232
417.436,2164,415.931,597,415.931,8430,418.37,43716
419.588,2114,418.085,740,418.085,8566,420.522,43935
421.74,2370,420.238,877,420.238,9003,422.673,45442
423.892,2242,422.39,766,422.39,8440,424.823,46396
426.042,2297,424.542,735,424.542,8682,426.973,48351
428.193,2066,426.694,602,426.694,8355,429.122,48436
430.342,2084,428.844,566,428.844,8467,431.271,48943
432.491,1990,430.995,627,430.995,8346,433.419,49666
434.64,2054,433.144,589,433.144,8442,435.567,50200
436.787,2044,435.293,635,435.293,8313,437.714,50450
438.935,1942,437.442,677,437.442,8529,439.86,49769
441.081,2068,439.59,620,439.59,8343,442.006,49144
443.228,2169,441.737,592,441.737,8354,444.151,49429
445.373,1908,443.884,566,443.884,8110,446.296,48362
447.518,1955,446.03,467,446.03,8161,448.44,46627
449.662,1829,448.175,566,448.175,8355,450.583,45535
451.806,1929,450.32,544,450.32,8261,452.726,44480
453.949,2121,452.465,534,452.465,8193,454.868,42553
456.092,1962,454.608,636,454.608,8465,457.01,40572
458.234,2154,456.752,601,456.752,8522,459.151,38323
